rmse;hl;T;RS
240.79821054578665;10;192;15
223.6042676017487;10;192;16
226.1866745724652;10;192;17
215.40776645476964;10;192;18
221.4434183286772;10;192;19
233.3399648246749;10;192;20
221.57706248533685;10;192;21
218.60667518252143;25;192;15
224.58772566286828;25;192;16
223.3560262906026;25;192;17
222.11450350750928;25;192;18
219.7540956098388;25;192;19
220.49616547002395;25;192;20
219.94382491222888;25;192;21
222.58971179116287;40;192;15
220.6164087895728;40;192;16
226.6829066309171;40;192;17
223.48756676761823;40;192;18
222.7352819455493;40;192;19
224.50221386842745;40;192;20
223.7117048939228;40;192;21
221.0120598127409;55;192;15
223.12501331899009;55;192;16
222.5643199565238;55;192;17
220.539931172739;55;192;18
224.604918356938;55;192;19
224.6144427617183;55;192;20
220.71751858091133;55;192;21
225.80417152502807;70;192;15
222.6863238753784;70;192;16
222.48315310082992;70;192;17
224.3995659300007;70;192;18
226.2167325982433;70;192;19
220.15832249355776;70;192;20
224.23973387709057;70;192;21
229.88579351549333;85;192;15
222.9455339176993;85;192;16
223.3348602119005;85;192;17
224.3514502750928;85;192;18
223.37192895466669;85;192;19
221.4100045338141;85;192;20
223.16603549558067;85;192;21
220.2045117196755;100;192;15
221.34570936537165;100;192;16
219.3682838573605;100;192;17
221.2042589801683;100;192;18
220.96858565145627;100;192;19
220.93457409074608;100;192;20
222.46406210734293;100;192;21
244.4801090322282;10;12;15
246.7808970529248;10;12;16
238.91056401362823;10;12;17
240.26295581794943;10;12;18
239.76619848916465;10;12;19
241.111015498328;10;12;20
236.4071230394512;10;12;21
236.272290475572;25;12;15
239.9463086347884;25;12;16
239.5427165465248;25;12;17
238.76731487517;25;12;18
239.51647472767223;25;12;19
233.75848354423408;25;12;20
234.1613008006987;25;12;21
238.19137761323708;40;12;15
242.0177164474169;40;12;16
242.14115512372075;40;12;17
236.8121479680777;40;12;18
239.502611683878;40;12;19
241.25921059760944;40;12;20
237.086600042304;40;12;21
242.65991256631432;55;12;15
243.6137880560148;55;12;16
241.3543282336274;55;12;17
235.81078401849828;55;12;18
237.4067890094276;55;12;19
242.8705389227532;55;12;20
237.69433543100783;55;12;21
243.167311247444;70;12;15
237.06896586038792;70;12;16
246.03442323612776;70;12;17
240.1836343966661;70;12;18
238.1081373265801;70;12;19
239.14054248263292;70;12;20
237.911513790038;70;12;21
245.5736069535925;85;12;15
241.03495564961105;85;12;16
241.3251499787949;85;12;17
238.95162462366235;85;12;18
242.13598966753565;85;12;19
235.60197405321588;85;12;20
236.58757162028965;85;12;21
237.59613576259665;100;12;15
239.83417018680092;100;12;16
240.37368225327003;100;12;17
237.6728697823338;100;12;18
237.68590281754703;100;12;19
238.2972364502205;100;12;20
237.65278928330423;100;12;21
239.67220325211704;10;156;15
223.78445461262453;10;156;16
226.2591317401297;10;156;17
220.76896556671053;10;156;18
221.4583907269681;10;156;19
232.9265393664216;10;156;20
221.42314695022583;10;156;21
218.00235129770337;25;156;15
224.21929586000007;25;156;16
222.69089730680665;25;156;17
222.34200329668923;25;156;18
221.3477582160472;25;156;19
222.10069493627933;25;156;20
220.4215964585222;25;156;21
223.4666786243885;40;156;15
222.69432322140105;40;156;16
227.7781261887821;40;156;17
223.1085320810421;40;156;18
222.9966780481413;40;156;19
224.799861147211;40;156;20
221.8817697121591;40;156;21
220.6983730556591;55;156;15
224.61658661993545;55;156;16
223.6873551260343;55;156;17
221.14772500074875;55;156;18
224.0303551674589;55;156;19
224.14213933003157;55;156;20
221.3841278780982;55;156;21
226.0503487093464;70;156;15
223.24516863393683;70;156;16
222.77910296460468;70;156;17
225.51596638259497;70;156;18
227.0412016587187;70;156;19
223.1799103593744;70;156;20
225.1698919579632;70;156;21
229.58398853180327;85;156;15
222.06512359493252;85;156;16
224.4372334800132;85;156;17
225.99337301252692;85;156;18
223.1201159204698;85;156;19
221.43869952576244;85;156;20
224.87475527657688;85;156;21
220.5294528951668;100;156;15
221.72716296233747;100;156;16
220.17636058660688;100;156;17
222.23763264621803;100;156;18
221.4188207271881;100;156;19
222.19753434750243;100;156;20
222.25651165161665;100;156;21
241.769547442986;10;228;15
225.66574030220133;10;228;16
230.8862256977823;10;228;17
222.7843637322032;10;228;18
223.27197997677703;10;228;19
234.5985107199775;10;228;20
223.26214086802423;10;228;21
218.52034239953525;25;228;15
225.80390515604026;25;228;16
224.8862526093298;25;228;17
223.9283693372251;25;228;18
221.69160514919867;25;228;19
222.15167153120862;25;228;20
221.33748241484543;25;228;21
224.95679829004655;40;228;15
223.0512214796385;40;228;16
227.2529096242065;40;228;17
225.94488508782894;40;228;18
223.33123689534975;40;228;19
226.48821646458043;40;228;20
225.58815785480252;40;228;21
223.0211335759985;55;228;15
224.793625659042;55;228;16
224.09722119998995;55;228;17
221.53931273580827;55;228;18
225.46513297359073;55;228;19
226.74887465063514;55;228;20
223.23240690571612;55;228;21
226.73686572904825;70;228;15
224.13300351962093;70;228;16
224.6383420224447;70;228;17
225.19885074040604;70;228;18
225.8412525458243;70;228;19
222.60662596680217;70;228;20
226.3791908623743;70;228;21
232.14744284101397;85;228;15
223.62476118197407;85;228;16
224.45126020971108;85;228;17
225.40807937889792;85;228;18
224.7749451248194;85;228;19
222.75057877630627;85;228;20
224.7986490082361;85;228;21
221.51703860715205;100;228;15
222.66568954122576;100;228;16
220.7987075624509;100;228;17
223.2410423314486;100;228;18
224.41556098327172;100;228;19
222.43899894231419;100;228;20
222.51000666757722;100;228;21
